,Unnamed: 0,диагональ,ширина,высота,дисплей,марка_процессора,семейство_процессора,видеокарта,оперативная_память,память_жесткого_диска,о_с,ядра,кэш_память,макс_такт_частота,цена
4,4,15.6,1366,768,1,2,2,2,4,128,4,4,2,2.64,18999
6,6,15.6,1920,1080,3,2,2,2,4,128,2,4,2,2.64,19999
11,11,15.6,1920,1080,2,2,6,7,16,512,0,8,12,4.4,99999
16,16,17.3,1920,1080,2,2,6,9,16,512,6,8,12,4.4,109999
2,2,15.6,1366,768,1,2,2,2,4,128,4,4,2,2.64,18999
5,5,13.5,3000,2000,3,2,2,2,4,128,4,4,2,2.64,19999
8,8,15.6,1920,1080,3,1,4,4,8,512,3,6,8,4.0,49999
18,18,16.0,2560,1600,3,2,7,10,32,1024,5,14,24,4.7,199999
9,9,15.6,1920,1080,3,2,6,5,8,512,5,4,8,4.4,49999
10,10,15.6,1920,1080,1,1,4,6,8,512,5,6,8,4.0,54999
15,15,15.6,1920,1080,3,2,7,9,16,512,5,6,12,4.5,109999
1,1,11.6,1366,768,3,2,1,2,4,64,4,2,2,2.4,15999
14,14,15.6,1920,1080,2,2,6,9,16,512,0,8,12,4.4,99999
17,17,15.6,1920,1080,2,1,5,10,16,512,6,8,16,4.4,129999
7,7,15.6,1920,1080,3,2,3,3,8,256,5,2,6,4.1,39999
3,3,15.6,1366,768,1,2,2,2,4,128,4,4,2,2.64,18999
12,12,17.3,1920,1080,3,2,6,9,8,256,0,6,12,4.5,99999
0,0,14.0,1920,1080,3,2,1,1,4,128,4,2,2,2.4,15999
13,13,15.6,1920,1080,2,2,6,7,16,512,5,8,12,4.4,99999
