,диагональ,ширина,высота,дисплей,марка_процессора,семейство_процессора,видеокарта,оперативная_память,память_жесткого_диска,о_с,ядра,кэш_память,макс_такт_частота,цена
0,14.0,1920,1080,3,2,1,1,4,128,4,2,2,2.4,15999
1,11.6,1366,768,3,2,1,5,4,64,4,2,2,2.4,15999
2,15.6,1366,768,1,2,2,5,4,128,4,4,2,2.64,18999
3,15.6,1366,768,1,2,2,5,4,128,4,4,2,2.64,18999
4,15.6,1366,768,1,2,2,5,4,128,4,4,2,2.64,18999
5,13.5,3000,2000,3,2,2,5,4,128,4,4,2,2.64,19999
6,15.6,1920,1080,3,2,2,5,4,128,2,4,2,2.64,19999
7,15.6,1920,1080,3,2,3,6,8,256,5,2,6,4.1,39999
8,15.6,1920,1080,3,1,5,7,8,512,3,6,8,4.0,49999
9,15.6,1920,1080,3,2,7,8,8,512,5,4,8,4.4,49999
10,15.6,1920,1080,1,1,5,10,8,512,5,6,8,4.0,54999
11,15.6,1920,1080,2,2,7,11,16,512,0,8,12,4.4,99999
12,17.3,1920,1080,3,2,7,13,8,256,0,6,12,4.5,99999
13,15.6,1920,1080,2,2,7,11,16,512,5,8,12,4.4,99999
14,15.6,1920,1080,2,2,7,13,16,512,0,8,12,4.4,99999
15,15.6,1920,1080,3,2,8,13,16,512,5,6,12,4.5,109999
16,17.3,1920,1080,2,2,7,13,16,512,6,8,12,4.4,109999
17,15.6,1920,1080,2,1,6,14,16,512,6,8,16,4.4,129999
18,16.0,2560,1600,3,2,8,15,32,1024,5,14,24,4.7,199999
