information,price,notebook_id
Важная особенность: Инновационная система охлаждения; Количество ядер: 6; Кэш-память: 8 МБ; Модель процессора: 5500U; ОС Windows: установлена; Обратите внимание: Прочный металлический корпус; Операционная система: Windows 10 Домашняя 64; Производитель про,69999,1
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce RTX 3050 для ноутбуков 4GB/16 ГБ/512 ГБ/Windows 10 Домашняя; Количество ядер: 6; Модель: G5 GD; Модель процессора: 11400H; ОС Window",85999,2
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/AMD/Ryzen 5/Radeon/8 ГБ/512 ГБ/Windows 10 Домашняя 64; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4 ГГц; Модель: A515-45; Модель процессора: 5500U; ОС Windows: устан",49999,3
"Ноутбук; Производитель: MSI. Операционная система: Windows 11 Профессиональная; Диагональ экрана: 17""; Соотношение сторон: 16:10; Разрешение экрана: 2560x1600
Пикс; Тип матрицы: IPS-level; Поверхность: Глянцевая; Производитель процессора: Intel; Тактовая",242999,4
"Графический контроллер: GeForce RTX 3060 для ноутбуков 6GB; Диагональ/разрешение: 17.3""/1920x1080 пикс.; Количество ядер: 8; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель процессора: 4800H; ОС Windows: установлена; Объем видеопамяти: 6",134999,5
"Гарантия: 1 год; ЗД для отчета BI/BO: 13.5""/3000x2000пикс./IPS/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB657; Модель процессора: J3710; ОС Windows:",19999,6
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Core i5/GeForce GTX 1650 4GB/8 ГБ/256 ГБ/не установлена; Количество ядер: 12; Модель процессора: 12500H; ОС Windows: не установлена; Обратите внимание: производительная видеокарта; Опер",79999,7
"Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1366x768 пикс./TN/Intel/Pentium/Intel HD Graphics/4 ГБ/128 ГБ/Windows 10 Pro; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.64 ГГц; Модель: NB287; Модель процессора: J3710; ОС Windows: у",18999,8
"Ноутбук; Производитель: Lenovo. Операционная система: Windows 10 Профессиональная x64; Диагональ экрана: 14""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Частота шины: 400
МГц; Тактовая часто",84999,9
"Ноутбук; Производитель: Lenovo. Операционная система: Windows 11 Домашняя x64; Диагональ экрана: 15.6""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.4; Количество ядер: 4;",49999,10
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 17.3""/1920x1080 пикс./IPS/AMD/Ryzen 7/GeForce RTX 3070 для ноутбуков 8GB/16 ГБ/1 ТБ/не установлена; Количество ядер: 8; Кэш-память: 16 МБ; Модель процессора: 5800H; ОС Windows: не",159999,11
"Ноутбук; Производитель: Honor. Операционная система: Windows 10 Домашняя x64; Диагональ экрана: 14""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 1.6; Количество ядер: 4; Тип",54999,12
"Ноутбук; Производитель: ASUS. Операционная система: Windows 11 Домашняя x64; Диагональ экрана: 15.6""; Разрешение экрана: 1920x1080
Пикс; Тип матрицы: IPS; Поверхность: Матовая; Производитель процессора: Intel; Тактовая частота: 2.7; Количество ядер: 6; Ти",72999,13
