information,price
"Важная особенность: Support NumberPad; Графический контроллер: Radeon Graphics; Диагональ/разрешение: 14""/2880x1800 пикс.; Количество ядер: 8; Кэш-память: 20 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 5800H; ОС Windows: установлена; Оп",94999
Важная особенность: Высокое разрешение Full HD; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.4 ГГц; Модель процессора: N3350; ОС Windows: установлена; Обратите внимание: Windows 10; Операционная система: Windows 10 Домашняя; Прои,22999
Важная особенность: Высокое разрешение Full HD; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель процессора: N4020; ОС Windows: установлена; Обратите внимание: Windows 10; Операционная система: Windows 10 Домашняя; Прои,16899
Важная особенность: Разворот экрана на 360 градусов; Графический контроллер: Intel UHD Graphics 600; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель: NB121; Модель процессора: Intel Celeron N4020; ОС Windows: установле,15999
Важная особенность: Создан для игр; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 11300H; ОС Windows: не установлена; Обратите внимание: Технология быстрой зарядки; Операционная система: не установлена; П,84999
Важная особенность: Создан для игр; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.4 ГГц; Модель процессора: 11300H; ОС Windows: установлена; Обратите внимание: Технология быстрой зарядки; Операционная система: Windows 11 Домашняя,109999
Важная особенность: Создан для игр; Количество ядер: 6; Кэш-память: 16 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель процессора: 5600H; ОС Windows: не установлена; Обратите внимание: Технология быстрой зарядки; Операционная система: не установлена; П,99999
Важная особенность: Создан для игр; Количество ядер: 6; Кэш-память: 16 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель процессора: 5600H; ОС Windows: установлена; Обратите внимание: Технология быстрой зарядки; Операционная система: Windows 11 Домашняя,84999
Важная особенность: Твердотельный накопитель PCIe; Количество ядер: 4; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.8 ГГц; Модель: 15s-eq2086ur; Модель процессора: 5300U; ОС Windows: установлена; Обратите внимание: Дисплей Full HD; Операционная сист,44999
"Важная особенность: свободный слот SSD/HDD 2.5"" SATA до 512 ГБ; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель: U1520EM; Модель процессора: N4020; ОС Windows: установлена; Операционная система: Windows 10 Домашняя; По",17899
"Важная особенность: свободный слот SSD/HDD 2.5"" SATA до 512 ГБ; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель: U1520SM; Модель процессора: N4020; ОС Windows: установлена; Операционная система: Windows 10 Домашняя; По",17999
"Версия ОС: 10 Home; Графический контроллер: Intel HD Graphics 500; Диагональ/разрешение: 13.3""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.3 ГГц; Модель: NB70; Модель процессора: J3455; ОС Windows: установлена;",15999
"Версия ОС: 10 Home; Графический контроллер: Intel HD Graphics 500; Диагональ/разрешение: 14.1""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 2 МБ; Максимальная тактовая частота: 2.4 ГГц; Модель: NB141; Модель процессора: Celeron N3350; ОС Windows: уста",15999
"Версия ОС: 10 Home; Графический контроллер: Radeon Graphics; Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.2 ГГц; Модель: 81W000KQRU; Модель процессора: 3050U; ОС Windows: установлена; Оп",29999
"Версия ОС: 10 Home; Графический контроллер: Radeon Vega 8; Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.7 ГГц; Модель: 14ADA05/81W000FXRU; Модель процессора: 3500U; ОС Windows: установле",37999
"Версия ОС: 10; Графический контроллер: GeForce MX350 2ГБ; Диагональ экрана: 14""(37 см); Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 6 МБ; Максимальная тактовая частота: 3.6 ГГц; Модель процессора: 1035G1; ОС Windows: установ",54999
"Версия ОС: 11 Home; Графический контроллер: Intel Iris Xe Graphics; Диагональ/разрешение: 14""/2880x1800 пикс.; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель процессора: 1135G7; ОС Windows: установлена; Операционная с",84999
"Версия ОС: Endless OS; Графический контроллер: UHD Graphics; Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.3 ГГц; Модель: A315-35; Модель процессора: N6000; ОС Windows: не установлена;",34999
"Версия ОС: Windows 10 Home; Графический контроллер: Radeon; Диагональ/разрешение: 14""/1920x1080 пикс.; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4 ГГц; Модель процессора: 4500U; ОС Windows: установлена; Операционная система: Win",59999
"Версия ОС: Windows 11 Домашняя; Гарантия: 1 год; ЗД для отчета BI/BO: 15.6""/1920x1080 пикс./IPS/Intel/Pentium/Intel UHD Graphics/8 ГБ/256 ГБ/Windows 11 Домашняя; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.5 ГГц; Модель процессо",38999
"Версия ОС: Windows 11 Домашняя; Графический контроллер: Intel UHD Graphics; Диагональ экрана: 15.6""(39.6 см); Диагональ/разрешение: 15.6""/1920x1080 пикс.; Количество ядер: 4; Кэш-память: 6 МБ; Максимальная тактовая частота: 3.6 ГГц; Модель процессора: 103",49999
Версия ОС: Домашняя; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.4 ГГц; Модель: 15IIL05; Модель процессора: 1005G1; ОС Windows: установлена; Операционная система: Windows 11 Домашняя 64; Пользователи оценят: Стильный дизайн; Про,39999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 13.3""/1920x1080 пикс./Intel/Core i7/Intel Iris Xe Graphics/16 ГБ/512 ГБ/не установлена; Количество ядер: 4; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.7 ГГц; Модель процес",89999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 13.4""/1920x1200 пикс./IPS-level/Intel/Core i5/Intel Iris Xe Graphics/16 ГБ/1 ТБ/Windows 11 Pro; Количество ядер: 12; Кэш-память: 12 МБ; Максимальная тактовая частота: 4.4 ГГц; Моде",124999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1366x768 пикс./TN/Intel/Celeron/Intel UHD Graphics 600/4 ГБ/64 ГБ/Windows 11 Домашняя; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель проц",24999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1366x768 пикс./TN/Intel/Celeron/UHD Graphics 600/4 ГБ/64 ГБ/Windows 11 Домашняя S-режим; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 2.8 ГГц; Модель пр",17999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1366x768 пикс./TN/Intel/Core i3/Intel UHD Graphics/4 ГБ/1 ТБ/Windows 10 Домашняя 64; Количество ядер: 2; Кэш-память: 4 МБ; Максимальная тактовая частота: 3.4 ГГц; Модель процес",31999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1366x768 пикс./TN/Intel/Core i5/Intel Iris Xe Graphics/8 ГБ/256 ГБ/не установлена; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель процессо",39999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1920x1080 пикс./IPS-level/Intel/Core i3/Intel UHD Graphics/8 ГБ/256 ГБ/Windows 10 Домашняя 64; Количество ядер: 2; Кэш-память: 6 МБ; Максимальная тактовая частота: 4.1 ГГц; Мод",44999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1920x1080 пикс./IPS/AMD/Ryzen 5/Radeon Graphics/8 ГБ/256 ГБ/Windows 11 Домашняя; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.0 ГГц; Модель процессора",46999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1920x1080 пикс./IPS/Intel/Core i3/Intel Iris Graphics/8 ГБ/256 ГБ/Windows 11 Домашняя; Количество ядер: 2; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель проц",44999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1920x1080 пикс./IPS/Intel/Core i3/Intel UHD Graphics/4 ГБ/512 ГБ/Windows 11 Домашняя; Количество ядер: 2; Кэш-память: 6 МБ; Максимальная тактовая частота: 4.1 ГГц; Модель проце",37999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/1920x1080 пикс./IPS/Intel/Core i5/Intel Iris Xe Graphics/8 ГБ/256 ГБ/Windows 11 Pro 64; Количество ядер: 4; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.2 ГГц; Модель про",54999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/2160x1440 пикс./IPS/AMD/Ryzen 5/Radeon Graphics/16 ГБ/512 ГБ/Windows 10 Домашняя 64; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.0 ГГц; Модель процес",65999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/2160x1440 пикс./IPS/AMD/Ryzen 5/Radeon Graphics/16 ГБ/512 ГБ/Windows 10 Домашняя 64; Количество ядер: 6; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.0 ГГц; Модель процес",74999
"Гарантия: 1 год; Гарантия предоставляется: продавцом; ЗД для отчета BI/BO: 14""/2160x1440 пикс./IPS/AMD/Ryzen 7/Radeon Graphics/16 ГБ/512 ГБ/Windows 10 Домашняя 64; Количество ядер: 8; Кэш-память: 8 МБ; Максимальная тактовая частота: 4.3 ГГц; Модель процес",84999
